what,kind,bundleId,bundleVersion,description,time
activated,editor,com.google.gwt.eclipse.core,2.5.2.v201202290255-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1332885507881
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332885523529
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332885659176
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332885661139
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332885662374
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332885665359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332885666290
activated,editor,com.google.gwt.eclipse.core,2.5.2.v201202290255-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1332885672569
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332885682662
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332885683956
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332885685494
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332885887066
activated,editor,com.google.gwt.eclipse.core,2.5.2.v201202290255-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1332885890655
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1332885895631
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1332885899925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332885900313
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332885915793
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1332885921739
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1332885922099
